 country of asylum ;GDP;inhibitans;km2;GDP-rank;inhibitans-rank;km2-rank
Afghanistan;7.4;0.2;10.0;40;90;94
Albania;-;-;2.7;117;118;119
Algeria;13.3;2.7;40.6;31;45;69
Angola;2.7;0.8;12.1;57;74;88
Argentina;0.2;0.1;1.2;91;100;128
Armenia;0.6;1.1;111.3;74;67;50
Aruba;..;-;..;..;118;..
Australia;0.6;1.0;2.8;74;69;118
Austria;1.1;5.1;509.3;66;25;24
Azerbaijan;0.2;0.2;21.9;91;90;79
Bahamas;-;0.1;2.1;117;100;120
Bahrain;-;0.1;264.8;117;100;33
Bangladesh;131.8;1.5;1,675.8;7;57;7
Belarus;-;0.1;2.9;117;100;117
Belgium;0.5;1.7;585.5;80;54;22
Belize;-;0.4;6.0;117;84;103
Benin;4.5;0.8;61.5;51;74;58
Bolivia (Plurinational State of);0.1;0.1;0.6;99;100;138
Bosnia and Herzegovina;0.9;1.9;137.1;69;51;44
Botswana;0.2;1.5;5.2;91;57;105
Brazil;0.4;-;0.5;83;118;140
British Virgin Islands;..;0.1;..;..;100;..
Bulgaria;0.4;0.7;49.9;83;76;65
Burkina Faso;0.4;-;1.9;83;118;122
Burundi;72.4;3.5;1,084.9;14;37;12
Cambodia;0.1;-;0.7;99;118;135
Cameroon;46.1;5.3;222.7;19;23;39
Canada;4.2;4.9;16.8;54;27;81
Cape Verde;-;-;-;117;118;152
Cayman Islands;..;-;..;..;118;..
Central African Republic;27.9;4.9;34.6;23;27;71
Chad;224.5;31.0;273.0;4;4;32
Chile;0.1;0.1;2.1;99;100;120
China;40.0;0.2;32.1;20;90;73
Colombia;-;-;0.2;117;118;148
Comoros;-;-;-;117;118;152
Congo, Republic of;31.5;32.9;387.8;21;3;28
Costa Rica;1.8;4.2;379.2;60;32;29
C?te d'Ivoire;14.0;1.3;81.1;29;63;53
Croatia;0.1;0.2;16.6;99;90;82
Cuba;..;-;3.7;..;118;113
Curacao;..;..;..;..;..;..
Cyprus;0.2;3.1;366.0;91;42;31
Czech Republic;0.1;0.2;31.2;99;90;74
Democratic Republic of the Congo;475.0;2.5;71.1;2;47;55
Denmark;0.5;3.2;405.4;80;39;27
Djibouti;6.4;17.0;694.1;45;6;17
Dominican Republic;0.1;0.1;12.4;99;100;85
Ecuador;15.3;8.4;471.1;27;12;25
Egypt;15.5;1.2;96.6;26;64;52
El Salvador;-;-;1.8;117;118;125
Equatorial Guinea;-;-;..;117;118;..
Eritrea;7.0;0.9;39.0;41;70;70
Estonia;-;-;0.9;117;118;131
Ethiopia;148.6;1.9;136.4;6;51;45
Fiji;-;-;..;117;118;..
Finland;0.3;1.6;26.1;88;56;76
France;5.9;3.2;366.7;46;39;30
Gabon;0.6;6.0;33.9;74;22;72
Gambia;4.1;4.8;773.0;55;30;15
Georgia;0.1;0.1;9.2;99;100;97
Germany;16.6;7.2;1,669.3;25;17;8
Ghana;5.4;0.6;57.7;50;78;61
Greece;0.1;0.1;10.9;99;100;91
Guatemala;-;-;1.3;117;118;127
Guinea;13.0;1.4;57.4;32;59;62
Guinea-Bissau;6.5;5.1;225.1;44;25;38
Guyana;-;-;..;117;118;..
Haiti;-;-;-;117;118;152
Honduras;-;-;0.1;117;118;149
Hungary;0.3;0.5;58.3;88;80;60
Iceland;-;0.3;0.8;117;88;133
India;55.7;0.2;58.5;17;90;59
Indonesia;0.2;-;0.4;91;118;142
Iran (Islamic Republic of);97.0;14.5;661.3;9;8;19
Iraq;9.7;1.1;78.3;38;67;54
Ireland;0.2;2.0;131.0;91;50;46
Israel;0.9;3.4;1,222.3;69;38;10
Italy;1.9;0.9;187.3;59;70;41
Jamaica;-;-;1.9;117;118;122
Japan;0.1;-;6.9;99;118;101
Jordan;80.9;72.9;5,004.2;11;1;3
Kazakhstan;0.4;0.3;1.6;83;88;126
Kenya;247.3;9.9;689.0;3;10;18
Kuwait;-;0.1;10.6;117;100;93
Kyrgyzstan;1.1;0.5;12.4;66;80;85
Lao People's Democratic Republic;-;-;-;117;118;152
Latvia;-;-;1.1;117;118;129
Lebanon;0.6;1.9;780.7;74;51;14
Lesotho;-;-;-;117;118;152
Liberia;58.1;6.2;257.0;16;21;34
Libya;0.6;1.2;4.9;74;64;108
Liechtenstein;..;2.6;609.3;..;46;21
Lithuania;-;0.2;12.4;117;90;85
Luxembourg;-;6.4;1,245.8;117;19;9
Madagascar;-;-;-;117;118;152
Malawi;6.6;0.4;48.4;43;84;66
Malaysia;5.6;2.9;246.1;47;44;35
Mali;12.4;0.9;10.8;33;70;92
Malta;0.2;14.7;19,603.8;91;7;1
Mauritania;13.8;7.7;25.6;30;15;77
Mauritius;-;-;-;117;118;152
Mexico;0.1;-;0.7;99;118;135
Micronesia (Federated States of);..;-;..;..;118;..
Mongolia;-;-;..;117;118;..
Montenegro;1.5;25.9;..;62;5;..
Morocco;0.2;-;1.9;91;118;122
Mozambique;4.4;0.2;5.2;53;90;105
Myanmar;-;-;-;117;118;152
Namibia;1.1;3.2;8.8;66;39;98
Nepal;75.2;3.0;609.8;13;43;20
Netherlands;1.8;4.5;2,135.5;60;31;6
New Zealand;0.1;0.5;8.5;99;80;99
Nicaragua;-;-;0.5;117;118;140
Niger;0.4;-;0.3;83;118;143
Nigeria;3.7;0.1;9.6;56;100;95
Norway;0.8;8.2;126.1;71;13;47
Occupied Palestinia Territory;..;-;..;..;118;..
Oman;-;-;0.3;117;118;143
Pakistan;709.7;10.9;2,167.5;1;9;5
Palau;..;-;..;..;118;..
Panama;1.4;4.9;226.5;64;27;37
Papua New Guinea;4.5;1.4;20.9;51;59;80
Paraguay;-;-;0.3;117;118;143
Peru;0.1;-;0.9;99;118;131
Philippines;0.1;-;0.8;99;118;133
Poland;0.8;0.4;50.0;71;84;64
Portugal;-;-;4.2;117;118;112
Qatar;-;-;4.5;117;118;109
Republic of Korea;-;-;3.6;117;118;114
Republic of Moldavia;-;-;4.4;117;118;110
Romania;0.1;-;4.3;99;118;111
Russian Federation;0.3;-;0.3;88;118;143
Rwanda;48.2;5.2;2,188.1;18;24;4
Saint Kitts and Nevis;-;-;..;117;118;..
Saint Lucia;-;-;..;117;118;..
Saint Martin;..;..;..;..;..;..
Saint Vincent and the Grenadines;-;-;..;117;118;..
Sao Tome and Principe;-;-;-;117;118;152
Saudi Arabia;-;-;0.3;117;118;143
Senegal;10.8;1.7;104.7;35;54;51
Serbia and Kosovo;9.1;7.5;720.1;39;16;16
Sierra Leone;10.4;1.4;115.1;36;59;49
Singapore;-;-;11.7;117;118;89
Slovakia;-;0.1;9.4;117;100;96
Slovenia;-;0.2;15.5;117;90;83
Somalia;..;0.2;3.0;..;90;116
South Africa;5.5;1.2;47.4;49;64;67
Spain;0.1;0.1;7.6;99;100;100
Sri Lanka;-;-;3.3;117;118;115
Sudan;77.7;4.1;71.0;12;33;56
Suriname;-;-;-;117;118;152
Swaziland;0.1;0.6;43.8;99;78;68
Sweden;2.2;8.8;185.0;58;11;43
Switzerland;1.2;6.4;1,186.2;65;19;11
Syrian Arab Republic;191.1;49.3;5,394.7;5;2;2
Tajikistan;1.5;0.5;22.1;62;80;78
Thailand;11.4;1.4;187.0;34;59;42
The former Yogoslav Republic of Macedonia;0.1;0.7;55.2;99;76;63
Timor-Leste;-;-;0.1;117;118;149
Togo;14.1;2.3;245.3;28;49;36
Trinidad and Tobago;-;-;..;117;118;..
Tunisia;-;-;0.6;117;118;138
Turkey;0.8;0.1;12.9;71;100;84
Turkmenistan;-;-;0.1;117;118;149
Uganda;107.6;4.1;560.3;8;33;23
Ukraine;0.5;0.1;5.0;80;100;107
United Arab Emirates;-;0.1;6.8;117;100;102
United Kingdom;6.8;3.8;976.4;42;35;13
United Republic of Tanzania;83.9;2.4;115.5;10;48;48
United States of America;5.6;0.9;28.4;47;70;75
Uruguay;-;0.1;1.1;117;100;129
Uzbekistan;0.1;-;0.7;99;118;135
Vanuatu;-;-;..;117;118;..
Venezuela (Bolivarian Republic of);16.9;7.0;220.2;24;18;40
Viet Nam;0.6;-;5.9;74;118;104
Yemen;72.1;7.9;451.5;15;14;26
Zambia;31.3;3.7;63.5;22;36;57
Zimbabwe;10.1;0.4;11.3;37;84;90
