Origin;  Country of asylum  ;  Start  ;  Repartation  ;  End  ;;;;;;;
Afghanistan;Austria;7.359;-;8.636;;;;;;;
Afghanistan;Germany;30.404;-;30.425;;;;;;;
Afghanistan;India;9.094;98;9.161;;;;;;;
Afghanistan;Iran (Islamic Rep. of);1.027.577;18.851;840.451;;;;;;;
Afghanistan;Netherlands;6.731;-;5.697;;;;;;;
Afghanistan;Norway;5.396;-;5.733;;;;;;;
Afghanistan;Pakistan;1.899.842;52.096;1.701.945;;;;;;;
Afghanistan;Sweden;4.150;-;6.620;;;;;;;
Afghanistan;United Kingdom;23.406;-;14.424;;;;;;;
Albania;United States;6.005;-;5.202;;;;;;;
Angola;Dem. Rep. of the Congo;79.617;1.538;78.144;;;;;;;
Angola;South Africa;5.808;-;5.808;;;;;;;
Angola;Zambia;25.265;2.371;23.500;;;;;;;
Armenia;United States;6.637;-;5.234;;;;;;;
Azerbaijan;Germany;6.326;-;6.368;;;;;;;
Bhutan;Nepal;74.536;-;57.381;;;;;;;
Bosnia and H.;Germany;24.622;98;24.016;;;;;;;
Bosnia and H.;Serbia (and Kosovo: S/RES/1244 (1999));21.047;6;20.673;;;;;;;
Burundi;Dem. Rep. of the Congo;12.845;3.944;8.915;;;;;;;
Burundi;Uganda;4.950;1;6.687;;;;;;;
Burundi;United Rep. of Tanzania;47.350;339;67.549;;;;;;;
Cambodia;France;12.956;-;12.818;;;;;;;
Cameroon;United States;7.300;-;7.282;;;;;;;
Central African Rep.;Cameroon;89.927;2.497;90.176;;;;;;;
Central African Rep.;Chad;69.428;6.469;67.414;;;;;;;
Chad;Cameroon;8.492;73;5.251;;;;;;;
Chad;Sudan;39.579;-;31.871;;;;;;;
China;Canada;16.451;-;17.024;;;;;;;
China;India;100.003;-;100.003;;;;;;;
China;United States;54.599;-;58.352;;;;;;;
Colombia;Canada;16.054;-;17.243;;;;;;;
Colombia;Costa Rica;10.214;2;10.297;;;;;;;
Colombia;Ecuador;120.403;18;122.587;;;;;;;
Colombia;Panama;15.432;-;15.598;;;;;;;
Colombia;United States;25.607;-;22.004;;;;;;;
Colombia;Venezuela (Bolivarian Republic of);201.467;-;201.941;;;;;;;
C“te d'Ivoire;Guinea;4.073;10;6.380;;;;;;;
C“te d'Ivoire;Liberia;24.536;135.109;128.067;;;;;;;
C“te d'Ivoire;Togo;66;61;5.151;;;;;;;
Croatia;Bosnia and H.;6.836;227;6.769;;;;;;;
Croatia;Serbia (and Kosovo: S/RES/1244 (1999));52.483;200;49.946;;;;;;;
Dem. Rep. of the Congo;Angola;13.648;1;13.648;;;;;;;
Dem. Rep. of the Congo;Burundi;28.957;486;35.213;;;;;;;
Dem. Rep. of the Congo;Central African Rep.;15.300;11.641;13.427;;;;;;;
Dem. Rep. of the Congo;Congo;124.244;763;131.648;;;;;;;
Dem. Rep. of the Congo;France;11.369;-;11.931;;;;;;;
Dem. Rep. of the Congo;Germany;5.587;-;5.146;;;;;;;
Dem. Rep. of the Congo;Kenya;4.879;4;5.155;;;;;;;
Dem. Rep. of the Congo;Rwanda;55.027;-;54.955;;;;;;;
Dem. Rep. of the Congo;South Africa;12.973;12;12.973;;;;;;;
Dem. Rep. of the Congo;South Sudan;20.979;-;22.186;;;;;;;
