 country of asylum ;GDP;inhibitans;km2;GDP-rank;inhibitans-rank;km2-rank
Afghanistan; 117,42 ; 7,14 ; 351,87 ; 8 ; 28 ; 38 
Albania; 0,01 ; 0,05 ; 5,37 ; 129 ; 131 ; 118 
Algeria; 6,68 ; 2,42 ; 40,59 ; 41 ; 52 ; 74 
Angola; 2,13 ; 0,64 ; 12,43 ; 59 ; 81 ; 104 
Argentina; 0,16 ; 0,08 ; 1,27 ; 94 ; 119 ; 143 
Armenia; 1,93 ; 5,22 ; 530,00 ; 60 ; 32 ; 27 
Aruba; .. ; -   ; -   ; .. ; 161 ; 166 
Australia; 0,76 ; 1,51 ; 4,62 ; 68 ; 66 ; 122 
Austria; 1,30 ; 7,13 ; 725,78 ; 64 ; 29 ; 17 
Azerbaijan; 0,08 ; 0,14 ; 15,74 ; 104 ; 106 ; 94 
Bahamas; -   ; 0,02 ; 0,52 ; 139 ; 142 ; 151 
Bahrain; 0,01 ; 0,20 ; 444,62 ; 129 ; 100 ; 33 
Bangladesh; 69,08 ; 1,46 ; 1.702,96 ; 16 ; 67 ; 11 
Barbados; -   ; -   ; .. ; 139 ; 161 ; .. 
Belarus; 0,08 ; 0,14 ; 6,63 ; 104 ; 106 ; 111 
Belgium; 0,72 ; 2,77 ; 1.018,19 ; 69 ; 50 ; 14 
Belize; -   ; -   ; -   ; 139 ; 161 ; 166 
Benin; 0,26 ; 0,05 ; 4,21 ; 85 ; 131 ; 123 
Bolivia (Plurinational State of); 0,12 ; 0,07 ; 0,71 ; 98 ; 122 ; 149 
Bosnia and Herzegovina; 0,68 ; 1,78 ; 132,96 ; 71 ; 60 ; 56 
Botswana; 0,13 ; 0,97 ; 3,73 ; 95 ; 71 ; 126 
Brazil; 0,49 ; 0,04 ; 0,91 ; 78 ; 136 ; 147 
British Virgin Islands; .. ; -   ; -   ; .. ; 161 ; 166 
Bulgaria; 0,62 ; 1,53 ; 99,64 ; 75 ; 65 ; 58 
Burkina Faso; 20,36 ; 1,93 ; 123,40 ; 25 ; 58 ; 57 
Burundi; 69,70 ; 5,00 ; 1.999,63 ; 15 ; 33 ; 7 
Cabo Verde; -   ; -   ; -   ; 139 ; 161 ; 166 
Cambodia; 0,02 ; 0,01 ; 0,44 ; 124 ; 150 ; 152 
Cameroon; 101,54 ; 13,27 ; 645,50 ; 9 ; 12 ; 22 
Canada; 3,33 ; 4,19 ; 15,18 ; 54 ; 41 ; 96 
Cayman Islands; .. ; 0,10 ; 23,08 ; .. ; 112 ; 87 
Central African Rep.; 13,10 ; 1,65 ; 12,69 ; 30 ; 61 ; 99 
Chad; 193,14 ; 30,97 ; 330,17 ; 5 ; 4 ; 40 
Chile; 0,08 ; 0,10 ; 2,38 ; 104 ; 112 ; 133 
China; 22,79 ; 0,22 ; 32,11 ; 23 ; 97 ; 81 
Colombia; 0,02 ; -   ; 0,19 ; 124 ; 161 ; 158 
Comoros; -   ; -   ; -   ; 139 ; 161 ; 166 
Congo, Rep. of; 9,75 ; 13,65 ; 179,16 ; 34 ; 11 ; 51 
Costa Rica; 0,23 ; 0,73 ; 67,56 ; 87 ; 77 ; 69 
C“te d'Ivoire; 0,61 ; 0,09 ; 6,10 ; 76 ; 116 ; 113 
Croatia; 0,03 ; 0,17 ; 12,58 ; 119 ; 101 ; 102 
Cuba; .. ; 0,03 ; 2,80 ; .. ; 139 ; 129 
Cura‡ao; .. ; 0,28 ; 97,78 ; .. ; 96 ; 59 
Cyprus; 0,24 ; 4,99 ; 621,48 ; 86 ; 34 ; 24 
Czech Rep.; 0,10 ; 0,30 ; 39,92 ; 102 ; 94 ; 75 
Dem. Rep. of the Congo; 207,63 ; 2,14 ; 68,55 ; 4 ; 55 ; 68 
Denmark; 0,40 ; 3,15 ; 402,28 ; 80 ; 45 ; 36 
Djibouti; 4,47 ; 16,88 ; 679,52 ; 49 ; 8 ; 20 
Dominican Rep.; 0,05 ; 0,06 ; 12,60 ; 113 ; 127 ; 101 
Ecuador; 10,68 ; 7,65 ; 472,95 ; 32 ; 26 ; 30 
Egypt; 21,42 ; 2,53 ; 229,98 ; 24 ; 51 ; 46 
El Salvador; 0,01 ; 0,01 ; 2,32 ; 129 ; 150 ; 134 
