 country of asylum ;GDP;inhibitans;km2;GDP-rank;inhibitans-rank;km2-rank
Afghanistan; 15,89 ; 0,52 ; 25,23 ; 30 ; 82 ; 78 
Albania; 0,01 ; 0,03 ; 3,00 ; 132 ; 132 ; 117 
Algeria; 12,19 ; 2,65 ; 40,58 ; 37 ; 47 ; 68 
Angola; 3,55 ; 1,23 ; 18,70 ; 58 ; 64 ; 83 
Argentina; 0,19 ; 0,09 ; 1,26 ; 89 ; 111 ; 129 
Armenia; 0,46 ; 0,92 ; 96,41 ; 80 ; 74 ; 52 
Aruba; .. ; -   ; .. ; .. ; 160 ; .. 
Australia; 0,70 ; 1,35 ; 3,91 ; 77 ; 62 ; 113 
Austria; 1,21 ; 6,16 ; 618,05 ; 68 ; 24 ; 22 
Azerbaijan; 0,14 ; 0,16 ; 17,03 ; 96 ; 102 ; 84 
Bahamas; -   ; 0,11 ; 2,77 ; 141 ; 107 ; 119 
Bahrain; 0,01 ; 0,23 ; 463,88 ; 132 ; 96 ; 27 
Bangladesh; 112,10 ; 1,55 ; 1.686,31 ; 8 ; 57 ; 9 
Belarus; 0,04 ; 0,06 ; 2,79 ; 116 ; 118 ; 118 
Belgium; 0,56 ; 2,06 ; 720,70 ; 78 ; 51 ; 18 
Belize; -   ; 0,09 ; 1,25 ; 141 ; 111 ; 130 
Benin; 2,75 ; 0,56 ; 42,80 ; 60 ; 81 ; 64 
Bolivia (Plurinational State of); 0,13 ; 0,07 ; 0,67 ; 99 ; 117 ; 137 
Bosnia and Herzegovina; 0,81 ; 1,84 ; 134,88 ; 74 ; 56 ; 48 
Botswana; 0,18 ; 1,39 ; 4,81 ; 90 ; 59 ; 110 
Brazil; 0,39 ; 0,02 ; 0,55 ; 81 ; 135 ; 139 
British Virgin Islands; .. ; 0,09 ; .. ; .. ; 111 ; .. 
Bulgaria; 0,16 ; 0,31 ; 20,64 ; 93 ; 91 ; 81 
Burkina Faso; 26,97 ; 2,39 ; 142,55 ; 24 ; 49 ; 47 
Burundi; 70,11 ; 4,99 ; 1.544,74 ; 12 ; 31 ; 11 
Cambodia; 0,03 ; 0,01 ; 0,42 ; 121 ; 145 ; 142 
Cameroon; 38,79 ; 5,05 ; 211,33 ; 21 ; 30 ; 44 
Canada; 3,85 ; 4,81 ; 16,66 ; 56 ; 33 ; 85 
Cape Verde; -   ; -   ; -   ; 141 ; 160 ; 152 
Cayman Islands; .. ; 0,05 ; .. ; .. ; 122 ; .. 
Central African Rep.; 15,42 ; 3,18 ; 22,50 ; 31 ; 43 ; 80 
Chad; 199,78 ; 33,29 ; 293,23 ; 5 ; 2 ; 35 
Chile; 0,09 ; 0,10 ; 2,24 ; 106 ; 109 ; 120 
China; 32,61 ; 0,22 ; 32,10 ; 23 ; 97 ; 72 
 -  Hong Kong SAR, China; -   ; 0,02 ; .. ; 141 ; 135 ; .. 
 -  Macao SAR, China; .. ; -   ; .. ; .. ; 160 ; .. 
Colombia; 0,02 ; -   ; 0,19 ; 125 ; 160 ; 147 
Comoros; -   ; -   ; -   ; 141 ; 160 ; 152 
Congo, Rep. of; 20,95 ; 24,35 ; 286,85 ; 25 ; 4 ; 36 
Costa Rica; 1,61 ; 4,39 ; 397,59 ; 66 ; 37 ; 30 
C“te d'Ivoire; 1,96 ; 0,20 ; 12,31 ; 64 ; 99 ; 92 
Croatia; 0,04 ; 0,16 ; 12,82 ; 116 ; 102 ; 91 
Cuba; .. ; 0,03 ; 3,32 ; .. ; 132 ; 116 
Curacao; .. ; .. ; .. ; .. ; .. ; .. 
Cyprus; 0,17 ; 3,29 ; 391,57 ; 92 ; 41 ; 31 
Czech Rep.; 0,10 ; 0,27 ; 35,69 ; 100 ; 92 ; 70 
Dem. Rep. of the Congo; 153,38 ; 0,99 ; 27,85 ; 6 ; 72 ; 77 
Denmark; 0,30 ; 2,05 ; 257,91 ; 85 ; 52 ; 38 
Djibouti; 8,51 ; 21,53 ; 879,51 ; 41 ; 7 ; 16 
Dominican Rep.; 0,08 ; 0,08 ; 15,68 ; 108 ; 115 ; 88 
Ecuador; 13,27 ; 8,56 ; 481,11 ; 35 ; 18 ; 26 
Egypt; 16,58 ; 1,36 ; 111,70 ; 29 ; 61 ; 50 
El Salvador; 0,01 ; 0,01 ; 2,18 ; 132 ; 145 ; 122 
Equatorial Guinea; -   ; -   ; .. ; 141 ; 160 ; .. 
Eritrea; 4,73 ; 0,69 ; 29,22 ; 52 ; 79 ; 74 
Estonia; -   ; 0,05 ; 1,39 ; 141 ; 122 ; 128 
Ethiopia; 303,13 ; 4,54 ; 332,67 ; 2 ; 34 ; 34 
Fiji; -   ; 0,01 ; .. ; 141 ; 145 ; .. 
Finland; 0,27 ; 1,85 ; 29,64 ; 86 ; 55 ; 73 
France; 6,07 ; 3,47 ; 398,04 ; 46 ; 40 ; 29 
Gabon; 0,09 ; 1,10 ; 6,25 ; 106 ; 68 ; 102 
Gambia; 5,68 ; 5,70 ; 909,12 ; 48 ; 27 ; 15 
Georgia; 0,08 ; 0,11 ; 6,72 ; 108 ; 107 ; 101 
Germany; 15,20 ; 7,17 ; 1.656,55 ; 32 ; 19 ; 10 
Ghana; 4,71 ; 0,66 ; 66,80 ; 53 ; 80 ; 56 
Greece; 0,08 ; 0,18 ; 15,87 ; 108 ; 101 ; 86 
Grenada; -   ; -   ; .. ; 141 ; 160 ; .. 
Guatemala; 0,03 ; 0,01 ; 1,45 ; 121 ; 145 ; 127 
Guinea; 8,63 ; 1,04 ; 42,18 ; 40 ; 71 ; 67 
Guinea-Bissau; 5,90 ; 5,14 ; 228,22 ; 47 ; 29 ; 40 
Guyana; -   ; 0,01 ; .. ; 141 ; 145 ; .. 
Haiti; -   ; -   ; -   ; 141 ; 160 ; 152 
Honduras; -   ; -   ; 0,14 ; 141 ; 160 ; 149 
