Afghanistan;16863
Albania;93
Algeria10;94150
Angola;23783
Argentina;3362
Armenia;13732
Aruba;1
Antigua and Barbuda;0
Australia;34503
Austria;55598
Azerbaijan;1380
Bahamas;15
Bahrain;294
Bangladesh11;231145
Barbados;1
Belarus;604
Belgium;25633
Belize;21
Benin;194
Bolivia (Plurinational State of);748
Bonaire;0
Bosnia and Herzegovina;6926
Botswana;2773
Brazil;5196
British Virgin Islands;0
Brunei Darussalam;0
Bulgaria;4320
Burkina Faso;29234
Burundi;45490
Cabo Verde;0
Cambodia;68
Cameroon;114753
Canada;160349
Cayman Islands;6
Central African Rep.;14322
Chad;434479
Chile;1743
China12;301047
Colombia;224
Comoros;0
Congo;51037
Costa Rica;20569
Côte d'Ivoire;2980
Croatia;684
Cuba;384
Curaçao;15
Cyprus13;3883
Czech Rep.;3184
Dem. Rep. of the Congo;113362
Denmark;13170
Djibouti;20015
Dominica;0
Dominican Rep.14;721
Ecuador15;123133
Egypt;230086
El Salvador;44
Equatorial Guinea;0
Eritrea;3166
Estonia;70
Ethiopia;433936
Fiji;5
Finland;11252
France;232487
Gabon;1594
Gambia;9563
Georgia;847
Germany16;187567
Ghana;18681
Greece;3485
Grenada;0
Guatemala;160
Guinea;8560
Guinea-Bissau;8535
Guyana;11
Haiti;0
Honduras;16
Hungary;2440
Iceland;79
India;188395
Indonesia;3206
Iran, Islamic Rep. of;857354
Iraq;246298
Ireland;6001
Israel17;48325
Italy;78061
Jamaica;21
Japan18;2584
Jordan19;641915
Kazakhstan;584
Kenya;534938
Kuwait;635
Kyrgyzstan;466
Lao People's Dem. Rep.;0
Latvia;160
Lebanon;856546
Lesotho;30
Liberia;53253
Libya;25561
Liechtenstein;97
Lithuania;916
Luxembourg;2873
Madagascar;12
Malawi;5796
Malaysia;97513
Mali;14316
Malta;9906
Mauritania;92767
Mauritius;0
Mexico;1831
Micronesia (Federated States of);0
Monaco;34
Mongolia;9
Montenegro;8476
Montserrat;0
Morocco;1470
Mozambique;4445
Myanmar20;0
Namibia;2332
Nauru17;0
Nepal21;46305
Netherlands22;74707
New Zealand;1403
Nicaragua;189
Niger;57661
Nigeria;1694
Norway;46106
Oman;138
Pakistan;1616507
Palau;1
Panama;17665
Papua New Guinea15;9378
Paraguay;136
Peru;1162
Philippines;182
Poland;16438
Portugal;598
Qatar;130
Rep. of Korea;547
Rep. of Moldova;250
Romania;1770
Russian Federation;3458
Rwanda;73349
Saint Kitts and Nevis;0
Saint Lucia;5
Saint Vincent and the Grenadines;0
Sao Tome and Principe;0
Saudi Arabia;559
Senegal;14247
Serbia and Kosovo;57083
Sierra Leone;2817
Singapore;3
Sint Maarten (Dutch part);3
Slovakia;701
Slovenia;213
Solomon Islands;0
Somalia;2425
South Africa23;65881
South Sudan24;229587
Spain;4637
Sri Lanka25;145
State of Palestine;0
Sudan26;159857
Suriname;0
Swaziland;507
Sweden;114175
Switzerland;52464
Syrian Arab Rep.27;149292
Tajikistan;2048
The former Yugoslav Republic of Macedonia;982
Thailand28;136499
Timor-Leste;0
Togo;20613
Tonga;3
Trinidad and Tobago;20
Tunisia;730
Turcs and Caicos Islands;4
Turkey29;609938
Turkmenistan;45
Uganda;220555
Ukraine;2968
United Arab Emirates;603
United Kingdom;126055
United Rep. of Tanzania;102099
United States30;263662
Uruguay;203
Uzbekistan;141
Vanuatu;2
Venezuela (Bolivarian Republic of);204340
Viet Nam;0
Yemen;241288
Zambia;23594
Zimbabwe;6389
