Afghanistan;225714
Albania;154
Algeria10;94144
Angola;15572
Antigua and Barbuda;0
Argentina;3523
Armenia;15690
Aruba;0
Australia11;35582
Austria12;60747
Azerbaijan;1357
Bahamas;7
Bahrain;277
Bangladesh13;232975
Barbados;1
Belarus;1369
Belgium;31115
Belize;0
Benin;488
Bolivia (Plurinational State of);767
Bonaire, Saint Eustatius and Saba ;0
Bosnia and Herzegovina;6805
Botswana;2164
Brazil;7762
British Virgin Islands;0
Brunei Darussalam;0
Bulgaria14;11046
Burkina Faso;34027
Burundi;54126
Cabo Verde;0
Cambodia;80
Cameroon;302293
Canada14;149163
Cayman Islands;6
Central African Rep.;7906
Chad;420774
Chile;1798
China15;301057
Colombia;219
Comoros;0
Congo, Republic of;61492
Costa Rica;3475
Côte d'Ivoire;1972
Croatia;710
Cuba;313
Curaçao ;44
Cyprus16;5763
Czech Rep.14;3137
Dem. Rep. of the Congo17;160271
Denmark14;17785
Djibouti;14787
Dominica;0
Dominican Rep.18;609
Ecuador12;121722
Egypt;226344
El Salvador;48
Equatorial Guinea;0
Eritrea;2944
Estonia19;117
Ethiopia;702467
Fiji;12
Finland14;11798
France;264972
Gabon;1008
Gambia;11773
Georgia;1659
Germany;250299
Ghana;18476
Greece;8231
Grenada;0
Guatemala;202
Guinea;8704
Guinea-Bissau;8684
Guyana;11
Haiti;5
Honduras;23
Hungary;4192
Iceland;104
India;200383
Indonesia;5277
Iran (Islamic Rep. of);979441
Iraq20;288035
Ireland14;5853
Israel;38500
Italy14;93715
Jamaica;15
Japan21;2419
Jordan22;664102
Kazakhstan;662
Kenya;552272
Kuwait;593
Kyrgyzstan;433
Lao People's Dem. Rep.;0
Latvia23;195
Lebanon;1172388
Lesotho;44
Liberia;38904
Libya;27948
Liechtenstein;107
Lithuania;1055
Luxembourg;1192
Madagascar;10
Malawi;8963
Malaysia;97573
Mali;14970
Malta;6095
Mauritania;76851
Mauritius;0
Mexico;2158
Micronesia (Federated States of);0
Monaco;33
Mongolia;11
Montenegro;6203
Montserrat;0
Morocco;2144
Mozambique;4552
Myanmar24;0
Namibia;1659
Nauru;506
Nepal25;36287
Netherlands14;82494
New Zealand14;1349
Nicaragua;361
Niger;82064
Nigeria;1279
Norway14;47043
Oman;122
Pakistan;1540854
Palau;1
Panama;17303
Papua New Guinea;9510
Paraguay;161
Peru;1407
Philippines;254
Poland14;15741
Portugal14;699
Qatar;133
Rep. of Korea;1313
Rep. of Moldova;389
Romania;2426
Russian Federation26;315313
Rwanda;132743
Saint Kitts and Nevis;1
Saint Lucia;2
Saint Vincent and the Grenadines;0
Sao Tome and Principe;0
Saudi Arabia;211
Senegal;14304
Serbia and Kosovo;35309
Sierra Leone;1371
Singapore;0
Sint Maarten (Dutch part);3
Slovakia14;799
Slovenia;283
Solomon Islands;3
Somalia;3582
South Africa;114512
South Sudan27;265887
Spain14;5798
Sri Lanka28;848
State of Palestine;0
Sudan29;356191
Suriname;1
Swaziland;539
Sweden14;142207
Switzerland;69390
Syrian Arab Rep.30;149200
Tajikistan31;1782
Thailand32;110372
The former Yugoslav Republic of Macedonia;828
Timor-Leste;0
Togo;21877
Tonga;0
Trinidad and Tobago;121
Tunisia;824
Turkey33;1838848
Turkmenistan;27
Turcs and Caicos Islands;4
Uganda;428397
Ukraine;3232
United Arab Emirates;424
United Kingdom14;117234
United Rep. of Tanzania;159014
United States of America34;267222
Uruguay;289
Uzbekistan35;118
Vanuatu;0
Venezuela (Bolivarian Republic of);174191
Viet Nam;0
Yemen;263047
Zambia;25737
Zimbabwe36;6085
