 country of asylum ;GDP;inhibitans;km2;GDP-rank;inhibitans-rank;km2-rank
Afghanistan; 155,07 ; 9,60 ; 468,33 ; 6 ; 18 ; 32 
Albania; 0,01 ; 0,03 ; 3,63 ; 130 ; 138 ; 126 
Algeria; 6,81 ; 2,36 ; 40,58 ; 42 ; 52 ; 73 
Angola; 1,95 ; 0,70 ; 12,36 ; 62 ; 80 ; 100 
Argentina; 0,15 ; 0,08 ; 1,26 ; 94 ; 118 ; 144 
Armenia; 2,17 ; 5,91 ; 595,87 ; 61 ; 31 ; 24 
Aruba; .. ; -   ; -   ; .. ; 161 ; 166 
Australia; 0,77 ; 1,51 ; 4,62 ; 70 ; 67 ; 120 
Austria; 1,20 ; 6,52 ; 664,26 ; 66 ; 28 ; 19 
Azerbaijan; 0,07 ; 0,14 ; 15,07 ; 107 ; 106 ; 94 
Bahamas; -   ; 0,03 ; 0,97 ; 141 ; 138 ; 146 
Bahrain; 0,01 ; 0,23 ; 499,20 ; 130 ; 96 ; 28 
Bangladesh; 69,05 ; 1,47 ; 1.699,28 ; 13 ; 68 ; 10 
Barbados; -   ; -   ; .. ; 141 ; 161 ; .. 
Belarus; 0,05 ; 0,10 ; 4,48 ; 112 ; 110 ; 122 
Belgium; 0,68 ; 2,62 ; 954,84 ; 74 ; 51 ; 14 
Belize; -   ; 0,03 ; 0,45 ; 141 ; 138 ; 154 
Benin; 0,22 ; 0,04 ; 3,58 ; 86 ; 131 ; 127 
Bolivia (Plurinational State of); 0,12 ; 0,07 ; 0,70 ; 96 ; 121 ; 152 
Bosnia and Herzegovina; 0,69 ; 1,80 ; 134,63 ; 72 ; 59 ; 56 
Botswana; 0,16 ; 1,30 ; 4,56 ; 92 ; 70 ; 121 
Brazil; 0,46 ; 0,04 ; 0,88 ; 79 ; 131 ; 149 
British Virgin Islands; .. ; -   ; -   ; .. ; 161 ; 166 
Bulgaria; 0,62 ; 1,54 ; 99,64 ; 77 ; 65 ; 58 
Burkina Faso; 18,96 ; 1,83 ; 115,67 ; 27 ; 58 ; 57 
Burundi; 66,06 ; 5,05 ; 1.955,67 ; 15 ; 34 ; 7 
Cabo Verde; -   ; -   ; -   ; 141 ; 161 ; 166 
Cambodia; 0,02 ; -   ; 0,35 ; 124 ; 161 ; 156 
Cameroon; 89,69 ; 11,57 ; 564,00 ; 9 ; 14 ; 26 
Canada; 3,33 ; 4,20 ; 15,18 ; 55 ; 41 ; 93 
Cayman Islands; .. ; 0,10 ; 23,08 ; .. ; 110 ; 85 
Central African Rep.; 12,69 ; 1,63 ; 12,35 ; 31 ; 64 ; 101 
Chad; 202,82 ; 34,28 ; 355,37 ; 3 ; 4 ; 41 
Chile; 0,08 ; 0,10 ; 2,34 ; 104 ; 110 ; 132 
China; 23,82 ; 0,22 ; 32,11 ; 24 ; 98 ; 80 
Colombia; 0,02 ; -   ; 0,19 ; 124 ; 161 ; 161 
Comoros; -   ; -   ; -   ; 141 ; 161 ; 166 
Congo, Rep. of; 8,93 ; 12,03 ; 159,78 ; 35 ; 13 ; 52 
Costa Rica; 1,44 ; 4,20 ; 403,33 ; 65 ; 41 ; 36 
C“te d'Ivoire; 0,56 ; 0,09 ; 5,96 ; 78 ; 115 ; 112 
Croatia; 0,04 ; 0,17 ; 12,86 ; 116 ; 102 ; 97 
Cuba; .. ; 0,02 ; 2,51 ; .. ; 141 ; 130 
Cura‡ao; .. ; 0,23 ; 82,22 ; .. ; 96 ; 63 
Cyprus; 0,22 ; 4,45 ; 552,79 ; 86 ; 39 ; 27 
Czech Rep.; 0,11 ; 0,29 ; 39,92 ; 100 ; 92 ; 74 
Dem. Rep. of the Congo; 148,86 ; 1,73 ; 51,22 ; 7 ; 61 ; 70 
Denmark; 0,40 ; 3,15 ; 402,28 ; 81 ; 46 ; 37 
Djibouti; 6,35 ; 23,17 ; 943,43 ; 43 ; 5 ; 15 
Dominican Rep.; 0,05 ; 0,06 ; 12,58 ; 112 ; 126 ; 99 
Ecuador; 10,84 ; 7,64 ; 474,65 ; 32 ; 24 ; 30 
Egypt; 20,87 ; 2,83 ; 239,88 ; 25 ; 48 ; 48 
El Salvador; -   ; 0,01 ; 1,69 ; 141 ; 152 ; 139 
Equatorial Guinea; -   ; -   ; .. ; 141 ; 161 ; .. 
Eritrea; 2,43 ; 0,44 ; 23,52 ; 60 ; 83 ; 84 
Estonia; -   ; 0,07 ; 1,99 ; 141 ; 121 ; 137 
Ethiopia; 440,27 ; 6,83 ; 582,91 ; 1 ; 26 ; 25 
Fiji; -   ; 0,01 ; 0,71 ; 141 ; 152 ; 151 
Finland; 0,29 ; 2,17 ; 35,26 ; 85 ; 53 ; 77 
France; 6,32 ; 3,90 ; 460,89 ; 44 ; 44 ; 33 
Gabon; 0,05 ; 0,59 ; 3,81 ; 112 ; 82 ; 125 
Gambia; 7,15 ; 6,08 ; 1.071,05 ; 40 ; 30 ; 13 
Georgia; 0,11 ; 0,20 ; 12,27 ; 100 ; 100 ; 102 
Germany; 4,82 ; 2,63 ; 609,47 ; 49 ; 50 ; 22 
Ghana; 4,50 ; 0,70 ; 76,95 ; 50 ; 80 ; 65 
Greece; 0,40 ; 0,93 ; 77,86 ; 81 ; 75 ; 64 
Grenada; -   ; -   ; -   ; 141 ; 161 ; 166 
Guatemala; 0,02 ; 0,01 ; 1,50 ; 124 ; 152 ; 141 
Guinea; 7,04 ; 0,73 ; 35,65 ; 41 ; 79 ; 75 
Guinea-Bissau; 6,08 ; 4,97 ; 254,61 ; 47 ; 35 ; 46 
Guyana; -   ; 0,01 ; 0,05 ; 141 ; 152 ; 164 
Haiti; -   ; -   ; 0,11 ; 141 ; 161 ; 162 
Honduras; 0,01 ; -   ; 0,23 ; 130 ; 161 ; 160 
Hungary; 0,12 ; 0,29 ; 30,88 ; 96 ; 92 ; 81 
Iceland; -   ; 0,30 ; 0,97 ; 141 ; 90 ; 146 
India; 34,36 ; 0,16 ; 63,27 ; 22 ; 104 ; 69 
Indonesia; 0,40 ; 0,02 ; 2,25 ; 81 ; 141 ; 133 
Iran, Islamic Rep. of; 57,75 ; 12,51 ; 605,04 ; 18 ; 11 ; 23 
Iraq; 18,04 ; 7,80 ; 612,47 ; 28 ; 22 ; 20 
Ireland; 0,12 ; 1,25 ; 84,18 ; 96 ; 72 ; 62 
Israel; 1,16 ; 5,08 ; 1.905,94 ; 67 ; 33 ; 8 
Italy; 2,69 ; 1,53 ; 311,21 ; 59 ; 66 ; 43 
Jamaica; -   ; 0,01 ; 1,99 ; 141 ; 152 ; 137 
Japan; 0,07 ; 0,02 ; 6,85 ; 107 ; 141 ; 111 
Jordan; 61,67 ; 87,16 ; 7.259,60 ; 17 ; 2 ; 3 
Kazakhstan; 0,03 ; 0,04 ; 0,24 ; 119 ; 131 ; 159 
Kenya; 189,66 ; 12,11 ; 942,86 ; 5 ; 12 ; 16 
Kuwait; 0,01 ; 0,18 ; 35,48 ; 130 ; 101 ; 76 
Kyrgyzstan; 0,14 ; 0,09 ; 2,42 ; 95 ; 115 ; 131 
Lao People's Dem. Rep.; -   ; -   ; -   ; 141 ; 161 ; 166 
Latvia; 0,01 ; 0,09 ; 2,85 ; 130 ; 115 ; 129 
Lebanon; 70,67 ; 232,39 ; 111.738,96 ; 12 ; 1 ; 1 
Lesotho; 0,02 ; 0,02 ; 1,44 ; 124 ; 141 ; 142 
Liberia; 45,86 ; 8,78 ; 400,82 ; 20 ; 20 ; 38 
Libya; 1,79 ; 4,47 ; 17,27 ; 63 ; 38 ; 88 
Liechtenstein; .. ; 2,78 ; 682,12 ; .. ; 49 ; 18 
Lithuania; 0,04 ; 0,33 ; 15,58 ; 116 ; 89 ; 91 
Luxembourg; 0,01 ; 2,06 ; 424,20 ; 130 ; 55 ; 35 
Madagascar; 0,01 ; -   ; 0,02 ; 130 ; 161 ; 165 
Malawi; 7,20 ; 0,35 ; 49,57 ; 39 ; 88 ; 72 
Malaysia; 4,02 ; 3,29 ; 300,08 ; 52 ; 45 ; 44 
Mali; 8,78 ; 0,96 ; 12,11 ; 37 ; 74 ; 103 
Malta; 0,19 ; 14,17 ; 19.472,84 ; 89 ; 10 ; 2 
Mauritania; 19,44 ; 18,98 ; 72,47 ; 26 ; 8 ; 66 
Mauritius; -   ; -   ; -   ; 141 ; 161 ; 166 
Mexico; 0,11 ; 0,01 ; 0,94 ; 100 ; 152 ; 148 
Micronesia (Federated States of); -   ; -   ; -   ; 141 ; 161 ; 166 
Monaco; .. ; 0,87 ; 163,37 ; .. ; 76 ; 51 
Mongolia; -   ; -   ; -   ; 141 ; 161 ; 166 
Montenegro; 0,43 ; 10,39 ; 470,31 ; 80 ; 15 ; 31 
Morocco; 0,16 ; 0,04 ; 2,99 ; 92 ; 131 ; 128 
Mozambique; 3,86 ; 0,17 ; 5,75 ; 54 ; 102 ; 114 
Myanmar; -   ; -   ; -   ; 141 ; 161 ; 166 
Namibia; 0,18 ; 0,75 ; 2,14 ; 90 ; 78 ; 136 
Nauru; .. ; 38,90 ; .. ; .. ; 3 ; .. 
Nepal; 16,20 ; 1,37 ; 261,37 ; 29 ; 69 ; 45 
Netherlands; 1,74 ; 4,91 ; 2.350,06 ; 64 ; 36 ; 5 
New Zealand; 0,04 ; 0,30 ; 5,00 ; 116 ; 90 ; 118 
Nicaragua; 0,06 ; 0,05 ; 2,16 ; 111 ; 129 ; 135 
Niger; 80,59 ; 4,20 ; 65,53 ; 10 ; 41 ; 68 
Nigeria; 0,21 ; 0,01 ; 1,36 ; 88 ; 152 ; 143 
Norway; 0,69 ; 9,24 ; 147,40 ; 72 ; 19 ; 54 
Oman; -   ; 0,04 ; 0,49 ; 141 ; 131 ; 153 
Pakistan; 315,90 ; 8,13 ; 1.716,92 ; 2 ; 21 ; 9 
Palau; -   ; 0,05 ; 2,18 ; 141 ; 129 ; 134 
Panama; 0,89 ; 4,40 ; 229,17 ; 69 ; 40 ; 49 
Papua New Guinea; 3,93 ; 1,27 ; 20,48 ; 53 ; 71 ; 86 
Paraguay; 0,02 ; 0,02 ; 0,38 ; 124 ; 141 ; 155 
Peru; 0,11 ; 0,04 ; 1,00 ; 100 ; 131 ; 145 
Philippines; 0,03 ; -   ; 0,75 ; 119 ; 161 ; 150 
Poland; 0,63 ; 0,41 ; 50,65 ; 76 ; 86 ; 71 
Portugal; 0,03 ; 0,07 ; 7,61 ; 119 ; 121 ; 110 
Qatar; -   ; 0,06 ; 11,82 ; 141 ; 126 ; 105 
Rep. of Korea; 0,03 ; 0,02 ; 11,86 ; 119 ; 141 ; 104 
Rep. of Moldova; 0,07 ; 0,10 ; 9,94 ; 107 ; 110 ; 107 
Romania; 0,12 ; 0,10 ; 9,19 ; 96 ; 110 ; 108 
Russian Federation; 9,42 ; 1,65 ; 13,96 ; 34 ; 63 ; 96 
Rwanda; 47,51 ; 6,10 ; 2.915,71 ; 19 ; 29 ; 4 
Saint Kitts and Nevis; -   ; 0,02 ; 3,83 ; 141 ; 141 ; 124 
Saint Lucia; -   ; 0,02 ; 4,84 ; 141 ; 141 ; 119 
Saint Vincent and the Grenadines; -   ; -   ; -   ; 141 ; 161 ; 166 
Sao Tome and Principe; -   ; -   ; -   ; 141 ; 161 ; 166 
Saudi Arabia; 0,01 ; 0,02 ; 0,29 ; 130 ; 141 ; 157 
Senegal; 6,18 ; 0,98 ; 72,28 ; 46 ; 73 ; 67 
Serbia and Kosovo; 4,34 ; 4,62 ; 428,02 ; 51 ; 37 ; 34 
Sierra Leone; 0,67 ; 0,22 ; 18,89 ; 75 ; 98 ; 87 
Singapore; -   ; -   ; 5,01 ; 141 ; 161 ; 117 
Sint Maarten (Dutch part); .. ; 0,07 ; 88,24 ; .. ; 121 ; 61 
Slovakia; 0,03 ; 0,15 ; 16,33 ; 119 ; 105 ; 89 
Slovenia; 0,01 ; 0,12 ; 12,68 ; 130 ; 107 ; 98 
Solomon Islands; -   ; 0,01 ; .. ; 141 ; 152 ; .. 
Somalia; .. ; 0,25 ; 4,29 ; .. ; 94 ; 123 
South Africa; 8,46 ; 2,11 ; 91,80 ; 38 ; 54 ; 60 
South Sudan; 112,04 ; 21,14 ; 383,96 ; 8 ; 6 ; 39 
Spain; 0,17 ; 0,12 ; 11,48 ; 91 ; 107 ; 106 
Sri Lanka; 0,05 ; 0,02 ; 7,65 ; 112 ; 141 ; 109 
State of Palestine; .. ; -   ; .. ; .. ; 161 ; .. 
Sudan; 67,69 ; 7,17 ; 147,31 ; 14 ; 25 ; 55 
Suriname; -   ; -   ; -   ; 141 ; 161 ; 166 
Swaziland; 0,08 ; 0,41 ; 29,73 ; 104 ; 86 ; 82 
Sweden; 3,06 ; 14,77 ; 318,42 ; 57 ; 9 ; 42 
Switzerland; 1,08 ; 7,68 ; 1.521,68 ; 68 ; 23 ; 12 
Syrian Arab Rep.; 24,04 ; 6,78 ; 800,19 ; 23 ; 27 ; 17 
Tajikistan; 0,76 ; 0,24 ; 14,27 ; 71 ; 95 ; 95 
Thailand; 8,88 ; 1,94 ; 251,96 ; 36 ; 56 ; 47 
The former Yugoslav Republic of Macedonia; 0,07 ; 0,42 ; 34,84 ; 107 ; 84 ; 78 
Timor-Leste; -   ; -   ; -   ; 141 ; 161 ; 166 
Togo; 15,08 ; 3,11 ; 380,22 ; 30 ; 47 ; 40 
Tonga; -   ; -   ; -   ; 141 ; 161 ; 166 
Trinidad and Tobago; -   ; 0,06 ; 16,18 ; 141 ; 126 ; 90 
Tunisia; 0,08 ; 0,08 ; 5,80 ; 104 ; 118 ; 113 
Turcs and Caicos Islands; .. ; 0,12 ; .. ; .. ; 107 ; .. 
